action_id,case_ref,action_type,org_id,territory_id,tam_delta_k
1,CAS-11001546-Q3Y2,MERGE_ORGANIZATION,700101114,,0.0
2,CAS-11001546-Q3Y2,CREATE_ORGANIZATION,700109138,,0.0
3,CAS-10807926-V5M6,MERGE_ORGANIZATION,700122434,,0.0
4,CAS-10807926-V5M6,DEACTIVATE_ORGANIZATION,700112134,,0.0
5,CAS-10957048-W3D3,MERGE_ORGANIZATION,700119998,,0.0
6,CAS-10662591-Y6D0,DEACTIVATE_ORGANIZATION,700108081,,0.0
7,CAS-11033255-L0K9,CREATE_ORGANIZATION,700109846,,0.0
8,CAS-10705653-J3E2,MERGE_ORGANIZATION,700113222,,0.0
9,CAS-10734284-L4G1,MOVE_ORGANIZATION,700115973,,0.0
10,CAS-10734284-L4G1,CREATE_ORGANIZATION,700122802,,0.0
11,CAS-10936570-N8W1,MERGE_ORGANIZATION,700116805,,0.0
12,CAS-10936570-N8W1,DEACTIVATE_ORGANIZATION,700120761,,0.0
13,CAS-10727809-A7J5,DEACTIVATE_ORGANIZATION,700113128,,0.0
14,CAS-10886306-P4J0,MOVE_ORGANIZATION,700106616,,0.0
15,CAS-10886306-P4J0,MERGE_ORGANIZATION,700121938,,0.0
16,CAS-10635733-Q7R5,MERGE_ORGANIZATION,700101532,,0.0
17,CAS-10509841-U1W9,RENAME_ORGANIZATION,700104879,,0.0
18,CAS-10791888-S8A4,RENAME_ORGANIZATION,700108880,,0.0
19,CAS-10574943-W6U8,MERGE_ORGANIZATION,700108995,,0.0
20,CAS-10574943-W6U8,MOVE_ORGANIZATION,700114848,,0.0
21,CAS-11146747-D1E3,RENAME_ORGANIZATION,700112626,,0.0
22,CAS-11146747-D1E3,CREATE_ORGANIZATION,700100254,,0.0
23,CAS-10836123-Y0R4,MERGE_ORGANIZATION,700113434,,0.0
24,CAS-11002840-Z6Y9,DEACTIVATE_ORGANIZATION,700112099,,0.0
25,CAS-11002840-Z6Y9,CREATE_ORGANIZATION,700121844,,0.0
26,CAS-10910868-U4X2,MERGE_ORGANIZATION,700106754,,0.0
27,CAS-10910868-U4X2,RENAME_ORGANIZATION,700105926,,0.0
28,CAS-10950154-L1X1,DEACTIVATE_ORGANIZATION,700105235,,0.0
29,CAS-10950154-L1X1,CREATE_ORGANIZATION,700111307,,0.0
30,CAS-10890470-B8F6,MOVE_ORGANIZATION,700110380,,0.0
31,CAS-10623946-Z2K5,RENAME_ORGANIZATION,700106415,,0.0
32,CAS-10699897-F9F7,DEACTIVATE_ORGANIZATION,700116024,,0.0
33,CAS-11178019-T7M8,RENAME_ORGANIZATION,700100830,,0.0
34,CAS-10703383-G9P0,RENAME_ORGANIZATION,700104792,,0.0
35,CAS-10703383-G9P0,MOVE_ORGANIZATION,700107997,,0.0
36,CAS-10747175-N9G6,RENAME_ORGANIZATION,700107165,,0.0
37,CAS-10747175-N9G6,MERGE_ORGANIZATION,700120778,,0.0
38,CAS-10517839-Q1C1,RENAME_ORGANIZATION,700120806,,0.0
39,CAS-10579393-Q9N7,MERGE_ORGANIZATION,700117651,,0.0
40,CAS-11165600-E2N8,MERGE_ORGANIZATION,700101760,,0.0
41,CAS-11165600-E2N8,CREATE_ORGANIZATION,700121675,,0.0
42,CAS-11174373-S2X2,MERGE_ORGANIZATION,700104815,,0.0
43,CAS-10948179-E9W3,DEACTIVATE_ORGANIZATION,700100356,,0.0
44,CAS-10881766-K5X5,MOVE_ORGANIZATION,700122884,,0.0
45,CAS-10906196-M2X7,CREATE_ORGANIZATION,700115293,,0.0
46,CAS-10906196-M2X7,DEACTIVATE_ORGANIZATION,700113990,,0.0
47,CAS-10897589-N1R1,MERGE_ORGANIZATION,700100160,,0.0
48,CAS-10897589-N1R1,CREATE_ORGANIZATION,700116300,,0.0
49,CAS-11107296-E3J2,MOVE_ORGANIZATION,700105700,,0.0
50,CAS-10981722-T7W0,MOVE_ORGANIZATION,700102582,,0.0
51,CAS-10561840-G9Y0,MERGE_ORGANIZATION,700120235,,0.0
52,CAS-10561840-G9Y0,MERGE_ORGANIZATION,700117636,,0.0
53,CAS-10644634-R1G7,CREATE_ORGANIZATION,700114048,,0.0
54,CAS-11186699-H9Q7,MERGE_ORGANIZATION,700105146,,0.0
55,CAS-11186699-H9Q7,MOVE_ORGANIZATION,700114748,,0.0
