case_ref,case_level,status,raised_date,approved_date,implemented_date,target_cycle
CAS-11001546-Q3Y2,ORGANIZATION,Implemented,2026-04-30,2026-05-18,2026-05-28,1H27
CAS-10807926-V5M6,ORGANIZATION,Open,2026-04-07,,,1H27
CAS-10957048-W3D3,ORGANIZATION,Implemented,2026-07-28,2026-08-04,2026-08-12,1H27
CAS-10662591-Y6D0,ORGANIZATION,Open,2026-03-22,,,1H27
CAS-11033255-L0K9,ORGANIZATION,Implemented,2026-03-23,2026-03-29,2026-04-14,1H27
CAS-10705653-J3E2,ORGANIZATION,Submitted,2026-06-22,2026-07-13,,1H27
CAS-10734284-L4G1,ORGANIZATION,Open,2026-03-20,,,1H27
CAS-10936570-N8W1,ORGANIZATION,Implemented,2026-03-14,2026-03-21,2026-04-13,1H27
CAS-10727809-A7J5,ORGANIZATION,Implemented,2026-04-18,2026-05-12,2026-05-18,1H27
CAS-10886306-P4J0,ORGANIZATION,Implemented,2026-03-22,2026-03-24,2026-04-18,1H27
CAS-10635733-Q7R5,ORGANIZATION,Implemented,2026-07-20,2026-07-29,2026-08-03,1H27
CAS-10509841-U1W9,ORGANIZATION,Implemented,2026-05-08,2026-05-28,2026-06-03,1H27
CAS-10791888-S8A4,ORGANIZATION,Open,2026-04-28,,,1H27
CAS-10574943-W6U8,ORGANIZATION,Implemented,2026-06-15,2026-06-18,2026-07-06,1H27
CAS-11146747-D1E3,ORGANIZATION,BA Approved,2026-05-18,2026-06-07,,1H27
CAS-10836123-Y0R4,ORGANIZATION,Implemented,2026-03-22,2026-04-03,2026-04-14,1H27
CAS-11002840-Z6Y9,ORGANIZATION,Pending BA Approval,2026-05-12,,,1H27
CAS-10910868-U4X2,ORGANIZATION,Implemented,2026-06-15,2026-07-07,2026-08-03,1H27
CAS-10950154-L1X1,ORGANIZATION,Implemented,2026-04-27,2026-05-03,2026-05-11,1H27
CAS-10890470-B8F6,ORGANIZATION,BA Approved,2026-06-30,2026-07-16,,1H27
CAS-10623946-Z2K5,ORGANIZATION,Submitted,2026-07-03,2026-07-23,,1H27
CAS-10699897-F9F7,ORGANIZATION,Pending BA Approval,2026-07-08,,,1H27
CAS-11178019-T7M8,ORGANIZATION,Implemented,2026-02-28,2026-03-14,2026-03-26,1H27
CAS-10703383-G9P0,ORGANIZATION,Implemented,2026-03-29,2026-04-17,2026-04-26,1H27
CAS-10747175-N9G6,ORGANIZATION,Submitted,2026-02-13,2026-03-09,,1H27
CAS-10517839-Q1C1,ORGANIZATION,Submitted,2026-03-11,2026-04-02,,1H27
CAS-10579393-Q9N7,ORGANIZATION,Pending BA Approval,2026-02-28,,,1H27
CAS-11165600-E2N8,ORGANIZATION,Implemented,2026-02-07,2026-02-16,2026-03-11,1H27
CAS-11174373-S2X2,ORGANIZATION,Implemented,2026-04-10,2026-04-26,2026-05-11,1H27
CAS-10948179-E9W3,ORGANIZATION,Pending BA Approval,2026-03-11,,,1H27
CAS-10881766-K5X5,ORGANIZATION,Implemented,2026-07-03,2026-07-13,2026-08-09,1H27
CAS-10906196-M2X7,ORGANIZATION,Submitted,2026-04-19,2026-05-10,,1H27
CAS-10897589-N1R1,ORGANIZATION,Implemented,2026-03-11,2026-03-31,2026-04-20,1H27
CAS-11107296-E3J2,ORGANIZATION,Implemented,2026-02-07,2026-02-09,2026-03-07,1H27
CAS-10981722-T7W0,ORGANIZATION,Implemented,2026-03-14,2026-03-27,2026-04-11,1H27
CAS-10561840-G9Y0,ORGANIZATION,BA Approved,2026-02-25,2026-03-16,,1H27
CAS-10644634-R1G7,ORGANIZATION,Implemented,2026-04-28,2026-05-02,2026-05-10,1H27
CAS-11186699-H9Q7,ORGANIZATION,Submitted,2026-07-30,2026-08-04,,1H27
CAS-10502446-N8H5,ORGANIZATION,Open,2026-02-10,,,1H27
CAS-10631077-Z9V3,ORGANIZATION,Pending BA Approval,2026-06-28,,,1H27
CAS-10791741-C1C9,ORGANIZATION,Implemented,2026-05-14,2026-05-18,2026-05-27,1H27
CAS-11068559-W7K4,ORGANIZATION,Implemented,2026-04-06,2026-04-26,2026-04-27,1H27
CAS-10608193-V0H8,ORGANIZATION,Implemented,2026-06-06,2026-06-09,2026-06-22,1H27
CAS-10802730-W5L0,ORGANIZATION,Implemented,2026-02-28,2026-03-16,2026-04-10,1H27
CAS-11176893-X0W2,ORGANIZATION,BA Approved,2026-07-06,2026-07-29,,1H27
CAS-10524291-W1S4,ORGANIZATION,Pending BA Approval,2026-05-04,,,1H27
CAS-10698460-C7C2,ORGANIZATION,Withdrawn,2026-03-07,,,1H27
CAS-10937230-Z3Q3,ORGANIZATION,Open,2026-06-19,,,1H27
CAS-10606412-J6A8,ORGANIZATION,Implemented,2026-04-18,2026-04-29,2026-05-13,1H27
CAS-10936504-J9R0,ORGANIZATION,Implemented,2026-03-29,2026-04-19,2026-05-12,1H27
CAS-11069765-Q5U8,ORGANIZATION,Implemented,2026-03-02,2026-03-16,2026-04-07,1H27
CAS-10766546-A2Y7,ORGANIZATION,BA Approved,2026-02-09,2026-03-01,,1H27
CAS-10505305-N0N5,ORGANIZATION,Implemented,2026-06-28,2026-07-17,2026-07-21,1H27
CAS-10689129-Q6W8,ORGANIZATION,Withdrawn,2026-04-09,,,1H27
CAS-10674240-K1W8,ORGANIZATION,BA Approved,2026-07-19,2026-08-11,,1H27
CAS-10917014-D1K3,ORGANIZATION,Implemented,2026-04-24,2026-05-11,2026-05-28,1H27
CAS-10784710-T1W3,ORGANIZATION,Implemented,2026-08-01,2026-08-10,2026-08-30,1H27
CAS-10577708-D1T6,ORGANIZATION,Implemented,2026-05-21,2026-06-09,2026-06-18,1H27
CAS-10706311-L9H4,ORGANIZATION,Implemented,2026-06-11,2026-07-02,2026-07-07,1H27
CAS-10673891-E3T4,ORGANIZATION,Submitted,2026-05-23,2026-06-17,,1H27
CAS-10925784-A6W7,ORGANIZATION,Implemented,2026-05-27,2026-06-19,2026-06-23,1H27
CAS-11196561-G4G7,ORGANIZATION,Implemented,2026-05-16,2026-05-29,2026-06-09,1H27
CAS-11171548-C2J3,ORGANIZATION,Pending BA Approval,2026-05-30,,,1H27
CAS-10739026-K6G2,ORGANIZATION,Implemented,2026-06-03,2026-06-13,2026-06-19,1H27
CAS-10600633-H0H7,ORGANIZATION,BA Approved,2026-04-13,2026-04-20,,1H27
CAS-10593962-T8Q2,ORGANIZATION,Withdrawn,2026-02-17,,,1H27
CAS-10889345-P2C3,ORGANIZATION,Implemented,2026-05-29,2026-06-21,2026-07-02,1H27
CAS-11061397-D9Q3,ORGANIZATION,Implemented,2026-07-31,2026-08-25,2026-09-16,1H27
CAS-10599378-Z7D0,ORGANIZATION,Implemented,2026-07-03,2026-07-13,2026-08-08,1H27
CAS-11162246-X3U2,ORGANIZATION,Implemented,2026-04-10,2026-05-04,2026-05-23,1H27
CAS-10710589-R4R8,ORGANIZATION,Implemented,2026-07-08,2026-07-15,2026-07-27,1H27
CAS-10685805-E3V4,ORGANIZATION,BA Approved,2026-02-04,2026-02-09,,1H27
CAS-11187355-U9W7,TERRITORY,BA Approved,2026-04-05,2026-04-19,,1H27
CAS-10725818-A0T2,TERRITORY,Implemented,2026-05-23,2026-06-10,2026-06-18,1H27
CAS-10839452-W6U9,TERRITORY,Implemented,2026-06-09,2026-07-02,2026-07-16,1H27
CAS-11141728-E3B4,TERRITORY,Implemented,2026-04-25,2026-04-30,2026-05-16,1H27
CAS-11180638-W9N9,TERRITORY,Implemented,2026-08-01,2026-08-06,2026-08-09,1H27
CAS-10689794-R9R4,TERRITORY,Implemented,2026-07-08,2026-08-02,2026-08-13,1H27
CAS-11009286-Y0P8,TERRITORY,Implemented,2026-04-01,2026-04-19,2026-04-22,1H27
CAS-10972700-U6Y7,TERRITORY,Implemented,2026-04-22,2026-05-07,2026-05-16,1H27
CAS-11156183-M5G7,TERRITORY,Implemented,2026-04-21,2026-05-03,2026-05-06,1H27
CAS-11163546-G6S4,TERRITORY,Implemented,2026-05-16,2026-06-07,2026-06-22,1H27
CAS-10728713-Y7J6,TERRITORY,Implemented,2026-03-03,2026-03-18,2026-03-20,1H27
CAS-10602813-N3G2,TERRITORY,Implemented,2026-07-07,2026-07-21,2026-07-27,1H27
CAS-11036309-T3R1,TERRITORY,Implemented,2026-05-08,2026-05-12,2026-05-14,1H27
CAS-11166264-V4B0,TERRITORY,Pending BA Approval,2026-07-08,,,1H27
CAS-11115745-T4R0,TERRITORY,Implemented,2026-06-23,2026-07-07,2026-07-24,1H27
CAS-10787394-B8T7,TERRITORY,Implemented,2026-04-24,2026-04-28,2026-05-25,1H27
CAS-10776441-Q8Z4,TERRITORY,Submitted,2026-02-13,2026-02-20,,1H27
CAS-11091140-W2U9,TERRITORY,Implemented,2026-06-08,2026-07-03,2026-07-26,1H27
CAS-10706387-G7B2,TERRITORY,Submitted,2026-07-19,2026-08-03,,1H27
CAS-10612883-R4H9,TERRITORY,Implemented,2026-02-27,2026-03-08,2026-04-05,1H27
CAS-11100722-C1E1,TERRITORY,Implemented,2026-04-02,2026-04-04,2026-04-05,1H27
CAS-11169382-P7A6,TERRITORY,Submitted,2026-04-09,2026-04-21,,1H27
CAS-11069562-E0L1,TERRITORY,Submitted,2026-05-04,2026-05-18,,1H27
CAS-10898208-F1Q3,TERRITORY,Implemented,2026-07-23,2026-08-16,2026-09-02,1H27
