case_ref,case_level,status,raised_date,approved_date,implemented_date,target_cycle
CAS-10957985-F0Y5,ORG,Implemented,2026-06-26,2026-06-29,2026-07-21,1H27
CAS-11168459-V0N5,ORG,Implemented,2026-05-27,2026-05-29,2026-06-23,1H27
CAS-11089379-N7G4,ORG,Implemented,2026-04-26,2026-05-06,2026-06-02,1H27
CAS-10967823-N2V4,ORG,Implemented,2026-04-26,2026-05-01,2026-05-30,1H27
CAS-11132927-N9V8,ORG,Implemented,2026-06-05,2026-06-25,2026-07-22,1H27
CAS-10940656-U0D2,ORG,Pending BA Approval,2026-05-25,,,1H27
CAS-10577663-N7G6,ORG,Implemented,2026-03-14,2026-03-27,2026-04-12,1H27
CAS-10918259-J6Z6,ORG,Pending BA Approval,2026-07-10,,,1H27
CAS-10939584-D7Z0,ORG,Submitted,2026-06-02,2026-06-14,,1H27
CAS-10543325-Q2D2,ORG,Pending BA Approval,2026-04-08,,,1H27
CAS-10960266-Q5W7,ORG,Submitted,2026-04-08,2026-04-26,,1H27
CAS-11188645-Q8M8,ORG,Pending BA Approval,2026-06-20,,,1H27
CAS-11055540-T1K3,ORG,Implemented,2026-07-30,2026-08-16,2026-08-20,1H27
CAS-10964637-B8G2,ORG,Implemented,2026-06-29,2026-07-17,2026-08-04,1H27
CAS-11094715-D9A2,ORG,Implemented,2026-05-22,2026-06-09,2026-06-20,1H27
CAS-10727400-Y6G0,ORG,BA Approved,2026-06-01,2026-06-12,,1H27
CAS-11100036-A8H0,ORG,Implemented,2026-07-13,2026-07-21,2026-08-12,1H27
CAS-10686147-Q2L3,ORG,Implemented,2026-03-20,2026-03-26,2026-04-01,1H27
CAS-11176721-M5X9,ORG,Implemented,2026-03-22,2026-04-14,2026-04-21,1H27
CAS-11110219-N0S6,ORG,Submitted,2026-07-11,2026-07-24,,1H27
CAS-11164235-W7J4,ORG,Implemented,2026-03-07,2026-03-31,2026-04-18,1H27
CAS-10630949-K4Z5,ORG,Implemented,2026-02-16,2026-03-03,2026-03-12,1H27
CAS-10912800-W4G7,ORG,Implemented,2026-07-23,2026-08-11,2026-08-13,1H27
CAS-11077121-A5A6,ORG,Implemented,2026-07-12,2026-08-02,2026-08-22,1H27
CAS-10950031-W0M0,ORG,Implemented,2026-08-01,2026-08-26,2026-09-20,1H27
CAS-11118414-H9G6,ORG,Submitted,2026-07-08,2026-07-29,,1H27
CAS-10833031-K0C7,ORG,Implemented,2026-04-03,2026-04-18,2026-05-12,1H27
CAS-11132806-V4T8,ORG,Implemented,2026-07-23,2026-08-08,2026-08-29,1H27
CAS-10747012-U5N6,ORG,BA Approved,2026-07-27,2026-08-13,,1H27
CAS-10552507-E5Y6,ORG,No Change,2026-02-04,,,1H27
CAS-10681576-Y4S3,ORG,Submitted,2026-03-26,2026-04-06,,1H27
CAS-10810351-C0T7,ORG,Open,2026-03-27,,,1H27
CAS-11107455-F6X1,ORG,Open,2026-02-10,,,1H27
CAS-11104273-K7F8,ORG,Implemented,2026-04-24,2026-05-09,2026-05-23,1H27
