assignment_id,org_id,territory_id,valid_from,valid_to
1,700100040,230000,2025-11-01,
2,700100134,230037,2025-11-01,
3,700100160,230074,2025-11-01,
4,700100197,230111,2025-11-01,
5,700100254,230148,2025-11-01,
6,700100320,230185,2025-11-01,
7,700100356,230222,2025-11-01,
8,700100446,230259,2025-11-01,
9,700100510,230333,2025-11-01,
10,700100535,230370,2025-11-01,
11,700100548,230444,2025-11-01,
12,700100593,230518,2025-11-01,
13,700100680,230555,2025-11-01,
14,700100744,230629,2025-11-01,
15,700100830,230740,2025-11-01,
16,700100896,230777,2025-11-01,
17,700100970,230814,2025-11-01,
18,700100984,230851,2025-11-01,
19,700101000,230888,2025-11-01,
20,700101013,230925,2025-11-01,
21,700101086,230962,2025-11-01,
22,700101114,230999,2025-11-01,
23,700101126,231036,2025-11-01,
24,700101168,231073,2025-11-01,
25,700101263,231110,2025-11-01,
26,700101296,231147,2025-11-01,
27,700101320,231184,2025-11-01,
28,700101338,231221,2025-11-01,
29,700101414,231258,2025-11-01,
30,700101469,231295,2025-11-01,
31,700101532,231332,2025-11-01,
32,700101589,231369,2025-11-01,
33,700101648,231406,2025-11-01,
34,700101712,231443,2025-11-01,
35,700101760,231480,2025-11-01,
36,700101825,231554,2025-11-01,
37,700101860,231591,2025-11-01,
38,700101888,231628,2025-11-01,
39,700101978,231665,2025-11-01,
40,700102048,231702,2025-11-01,
41,700102062,231739,2025-11-01,
42,700102136,231776,2025-11-01,
43,700102224,231813,2025-11-01,
44,700102270,231887,2025-11-01,
45,700102300,231924,2025-11-01,
46,700102328,231961,2025-11-01,
47,700102391,231998,2025-11-01,
48,700102431,232035,2025-11-01,
49,700102526,232072,2025-11-01,
50,700102568,232109,2025-11-01,
51,700102582,232146,2025-11-01,
52,700102608,232183,2025-11-01,
53,700102620,232220,2025-11-01,
54,700102671,232257,2025-11-01,
55,700102702,232294,2025-11-01,
56,700102793,232368,2025-11-01,
57,700102881,232405,2025-11-01,
58,700102962,232442,2025-11-01,
59,700102995,232479,2025-11-01,
60,700103026,232553,2025-11-01,
61,700103041,232590,2025-11-01,
62,700103106,232627,2025-11-01,
63,700103137,232664,2025-11-01,
64,700103232,232738,2025-11-01,
65,700103277,232775,2025-11-01,
66,700103295,232812,2025-11-01,
67,700103310,232849,2025-11-01,
68,700103366,232923,2025-11-01,
69,700103427,232960,2025-11-01,
70,700103508,233034,2025-11-01,
71,700103520,233071,2025-11-01,
72,700103614,233145,2025-11-01,
73,700103711,233182,2025-11-01,
74,700103763,233219,2025-11-01,
75,700103849,232479,2025-11-01,
76,700103942,231369,2025-11-01,
77,700103957,231924,2025-11-01,
78,700104012,232183,2025-11-01,
79,700104089,231073,2025-11-01,
80,700104104,231258,2025-11-01,
81,700104198,230555,2025-11-01,
82,700104227,233071,2025-11-01,
83,700104263,233219,2025-11-01,
84,700104317,232590,2025-11-01,
85,700104398,231258,2025-11-01,
86,700104425,232109,2025-11-01,
87,700104498,232035,2025-11-01,
88,700104561,230629,2025-11-01,
89,700104614,231332,2025-11-01,
90,700104693,232146,2025-11-01,
91,700104711,230000,2025-11-01,
92,700104792,230555,2025-11-01,
93,700104815,232220,2025-11-01,
94,700104879,232923,2025-11-01,
95,700104895,231258,2025-11-01,
96,700104982,231147,2025-11-01,
97,700105000,231295,2025-11-01,
98,700105040,230999,2025-11-01,
99,700105123,230851,2025-11-01,
100,700105146,232590,2025-11-01,
101,700105171,231776,2025-11-01,
102,700105235,230814,2025-11-01,
103,700105288,231702,2025-11-01,
104,700105310,230259,2025-11-01,
105,700105384,231998,2025-11-01,
106,700105462,231110,2025-11-01,
107,700105525,231887,2025-11-01,
108,700105617,231813,2025-11-01,
109,700105700,232479,2025-11-01,
110,700105780,232368,2025-11-01,2026-02-01
111,700105838,230740,2025-11-01,
112,700105926,231406,2025-11-01,
113,700106019,230185,2025-11-01,
114,700106034,233219,2025-11-01,
115,700106090,232257,2025-11-01,
116,700106176,230740,2025-11-01,
117,700106260,232442,2025-11-01,
118,700106338,232849,2025-11-01,
119,700106356,231258,2025-11-01,
120,700106382,231813,2025-11-01,
121,700106415,231998,2025-11-01,
122,700106457,231887,2025-11-01,
123,700106541,230148,2025-11-01,
124,700106590,231924,2025-11-01,
125,700106616,230629,2025-11-01,
126,700106713,232405,2025-11-01,2026-02-01
127,700106754,231258,2025-11-01,2026-02-01
128,700106845,232627,2025-11-01,
129,700106877,232664,2025-11-01,
130,700106973,230185,2025-11-01,
131,700107067,230370,2025-11-01,
132,700107089,232405,2025-11-01,
133,700107165,231295,2025-11-01,
134,700107240,230518,2025-11-01,
135,700107309,230037,2025-11-01,
136,700107404,231480,2025-11-01,
137,700107484,230740,2025-11-01,2026-02-01
138,700107567,233034,2025-11-01,
139,700107650,232183,2025-11-01,
140,700107734,231369,2025-11-01,
141,700107823,230111,2025-11-01,
142,700107849,232775,2025-11-01,
143,700107872,232294,2025-11-01,
144,700107904,231924,2025-11-01,
145,700107932,231887,2025-11-01,
146,700107982,230333,2025-11-01,
147,700107997,230888,2025-11-01,
148,700108081,231702,2025-11-01,
149,700108158,232257,2025-11-01,2026-02-01
150,700108192,230925,2025-11-01,
151,700108288,232183,2025-11-01,
152,700108330,231591,2025-11-01,
153,700108425,231332,2025-11-01,
154,700108459,230814,2025-11-01,
155,700108501,231332,2025-11-01,
156,700108525,232294,2025-11-01,
157,700108613,231776,2025-11-01,
158,700108627,230518,2025-11-01,
159,700108722,232183,2025-11-01,
160,700108792,230518,2025-11-01,
161,700108839,231665,2025-11-01,
162,700108880,230037,2025-11-01,
163,700108972,230925,2025-11-01,
164,700108995,231480,2025-11-01,
165,700109080,232775,2025-11-01,
166,700109138,230259,2025-11-01,
167,700109222,232183,2025-11-01,
168,700109304,233219,2025-11-01,
169,700109383,231258,2025-11-01,
170,700109410,232849,2025-11-01,
171,700109431,230148,2025-11-01,
172,700109507,230000,2025-11-01,
173,700109563,230888,2025-11-01,
174,700109621,231665,2025-11-01,
175,700109712,232183,2025-11-01,
176,700109743,233219,2025-11-01,
177,700109756,231739,2025-11-01,
178,700109775,230518,2025-11-01,
179,700109846,230777,2025-11-01,
180,700109927,230629,2025-11-01,
181,700110020,231443,2025-11-01,
182,700110099,230814,2025-11-01,
183,700110133,230740,2025-11-01,
184,700110197,230333,2025-11-01,
185,700110293,230037,2025-11-01,
186,700110320,230370,2025-11-01,
187,700110380,231776,2025-11-01,
188,700110451,233071,2025-11-01,
189,700110468,230740,2025-11-01,
190,700110529,230555,2025-11-01,
191,700110569,231554,2025-11-01,2026-02-01
192,700110638,230222,2025-11-01,
193,700110688,231887,2025-11-01,
194,700110768,230074,2025-11-01,
195,700110834,232294,2025-11-01,
196,700110867,231258,2025-11-01,
197,700110933,231332,2025-11-01,
198,700111027,232738,2025-11-01,
199,700111092,232405,2025-11-01,
200,700111151,231480,2025-11-01,
201,700111171,232072,2025-11-01,
202,700111244,231295,2025-11-01,
203,700111307,231591,2025-11-01,
204,700111349,231406,2025-11-01,
205,700111393,233145,2025-11-01,
206,700111483,232960,2025-11-01,2026-02-01
207,700111519,231813,2025-11-01,
208,700111566,230074,2025-11-01,
209,700111595,233182,2025-11-01,
210,700111661,230111,2025-11-01,
211,700111731,230925,2025-11-01,
212,700111796,231739,2025-11-01,
213,700111856,232146,2025-11-01,
214,700111895,231258,2025-11-01,
215,700111976,232627,2025-11-01,
216,700112026,231036,2025-11-01,
217,700112099,231332,2025-11-01,
218,700112134,232664,2025-11-01,
219,700112185,230222,2025-11-01,
220,700112199,232664,2025-11-01,
221,700112290,230370,2025-11-01,
222,700112313,230925,2025-11-01,
223,700112360,230111,2025-11-01,
224,700112449,232627,2025-11-01,
225,700112542,232812,2025-11-01,
226,700112599,230370,2025-11-01,
227,700112626,230111,2025-11-01,
228,700112708,233145,2025-11-01,
229,700112755,231184,2025-11-01,
230,700112798,231184,2025-11-01,
231,700112870,230333,2025-11-01,
232,700112926,232627,2025-11-01,
233,700112982,233145,2025-11-01,
234,700113001,230333,2025-11-01,
235,700113094,231665,2025-11-01,
236,700113110,231887,2025-11-01,
237,700113128,232738,2025-11-01,
238,700113222,232553,2025-11-01,
239,700113290,230185,2025-11-01,
240,700113367,232183,2025-11-01,
241,700113434,231998,2025-11-01,
242,700113509,233145,2025-11-01,
243,700113567,231480,2025-11-01,
244,700113639,230370,2025-11-01,
245,700113688,230777,2025-11-01,
246,700113785,232405,2025-11-01,
247,700113811,231295,2025-11-01,
248,700113895,231998,2025-11-01,
249,700113990,231147,2025-11-01,
250,700114022,231295,2025-11-01,
251,700114048,231776,2025-11-01,
252,700114117,230185,2025-11-01,
253,700114158,232479,2025-11-01,
254,700114173,231591,2025-11-01,
255,700114262,230888,2025-11-01,
256,700114275,231998,2025-11-01,
257,700114328,232035,2025-11-01,
258,700114421,232183,2025-11-01,
259,700114509,232035,2025-11-01,
260,700114579,231036,2025-11-01,
261,700114605,233182,2025-11-01,
262,700114638,233034,2025-11-01,
263,700114696,232960,2025-11-01,
264,700114748,231221,2025-11-01,
265,700114822,230925,2025-11-01,
266,700114848,232405,2025-11-01,
267,700114874,230222,2025-11-01,
268,700114952,230629,2025-11-01,
269,700114982,232257,2025-11-01,
270,700115077,232294,2025-11-01,
271,700115132,230185,2025-11-01,
272,700115229,232035,2025-11-01,
273,700115241,231961,2025-11-01,
274,700115293,232146,2025-11-01,
275,700115347,230814,2025-11-01,
276,700115369,231887,2025-11-01,
277,700115456,230259,2025-11-01,
278,700115531,230888,2025-11-01,
279,700115604,230148,2025-11-01,
280,700115662,231480,2025-11-01,
281,700115722,230037,2025-11-01,
282,700115769,232738,2025-11-01,
283,700115786,232442,2025-11-01,
284,700115867,230185,2025-11-01,2026-02-01
285,700115934,232405,2025-11-01,2026-02-01
286,700115948,230888,2025-11-01,
287,700115973,233071,2025-11-01,
288,700116001,231961,2025-11-01,
289,700116024,231184,2025-11-01,
290,700116075,230518,2025-11-01,
291,700116131,232183,2025-11-01,
292,700116198,230518,2025-11-01,
293,700116215,232109,2025-11-01,
294,700116281,231887,2025-11-01,
295,700116300,230777,2025-11-01,
296,700116367,231665,2025-11-01,
297,700116408,232553,2025-11-01,
298,700116478,231591,2025-11-01,
299,700116537,231332,2025-11-01,
300,700116550,230074,2025-11-01,
301,700116634,232479,2025-11-01,
302,700116727,232738,2025-11-01,
303,700116758,232257,2025-11-01,
304,700116788,231332,2025-11-01,2026-02-01
305,700116805,230740,2025-11-01,
306,700116830,232220,2025-11-01,2026-02-01
307,700116922,230777,2025-11-01,
308,700116953,231887,2025-11-01,
