org_id,org_name,legal_name,registry_no,reg_country,parent_org_id,ultimate_parent_hint,employees,entity_status,is_duplicate_of,created_cycle
700100040,Pentland Advisory Limited,Pentland Advisory Limited,643651,IE,,Pentland Advisory Limited,3628,ACTIVE,,2H25
700100134,Cranbourne Insurance Unlimited Company,Cranbourne Insurance Unlimited Company,297859,IE,,Cranbourne Insurance Unlimited Company,2129,ACTIVE,,2H25
700100160,Yarrowdale Services Limited,Yarrowdale Services Limited,6136993,GB,,Yarrowdale Services Limited,5823,ACTIVE,,2H25
700100197,Blackwater Partners Limited,Blackwater Partners Limited,3550955,GB,,Blackwater Partners Limited,3140,ACTIVE,,2H25
700100254,Kilbrannan Capital Holdings Limited,Kilbrannan Capital Holdings Limited,8285224,GB,,Kilbrannan Capital Holdings Limited,1235,ACTIVE,,2H25
700100320,Harrowfield Partners DAC,Harrowfield Partners DAC,106504,IE,,Harrowfield Partners DAC,2701,ACTIVE,,2H25
700100356,Lambourne Energy Unlimited Company,Lambourne Energy Unlimited Company,618008,IE,,Lambourne Energy Unlimited Company,2371,ACTIVE,,2H25
700100446,Ballyvaughan Financial PLC,Ballyvaughan Financial PLC,8362434,GB,,Ballyvaughan Financial PLC,4087,ACTIVE,,2H25
700100510,Carrowmore Healthcare PLC,Carrowmore Healthcare PLC,3938480,GB,,Carrowmore Healthcare PLC,4749,ACTIVE,,2H25
700100535,Westmeath Retail Group PLC,Westmeath Retail Group PLC,163339,IE,,Westmeath Retail Group PLC,590,ACTIVE,,2H25
700100548,Ardmore Industrial Limited,Ardmore Industrial Limited,9248459,GB,,Ardmore Industrial Limited,6552,ACTIVE,,2H25
700100593,Yarrowdale Industrial Group Limited,Yarrowdale Industrial Group Limited,5273250,GB,,Yarrowdale Industrial Group Limited,4771,ACTIVE,,2H25
700100680,Tullamore Advisory Ireland Limited,Tullamore Advisory Ireland Limited,782770,IE,,Tullamore Advisory Ireland Limited,6714,ACTIVE,,2H25
700100744,Orrell Partners Holdings Limited,Orrell Partners Holdings Limited,8610263,GB,,Orrell Partners Holdings Limited,2337,ACTIVE,,2H25
700100830,Stonebridge Financial Limited,Stonebridge Financial Limited,588654,IE,,Stonebridge Financial Limited,4991,ACTIVE,,2H25
700100896,Tullamore Industrial DAC,Tullamore Industrial DAC,552997,IE,,Tullamore Industrial DAC,3905,ACTIVE,,2H25
700100970,Cranbourne Financial PLC,Cranbourne Financial PLC,8792260,GB,,Cranbourne Financial PLC,1762,ACTIVE,,2H25
700100984,Carrowmore Energy PLC,Carrowmore Energy PLC,3541005,GB,,Carrowmore Energy PLC,6669,ACTIVE,,2H25
700101000,Lambourne Industrial Group Limited,Lambourne Industrial Group Limited,2069233,GB,,Lambourne Industrial Group Limited,5873,ACTIVE,,2H25
700101013,Northgate Logistics Limited,Northgate Logistics Limited,280878,IE,,Northgate Logistics Limited,1287,ACTIVE,,2H25
700101086,Fairholt Energy Limited,Fairholt Energy Limited,163415,IE,,Fairholt Energy Limited,4885,ACTIVE,,2H25
700101114,Orrell Insurance Group Limited,Orrell Insurance Group Limited,7753358,GB,,Orrell Insurance Group Limited,7505,ACTIVE,,2H25
700101126,Ardmore Insurance Holdings Limited,Ardmore Insurance Holdings Limited,1031754,GB,,Ardmore Insurance Holdings Limited,3415,ACTIVE,,2H25
700101168,Drumcondra Partners (UK) Limited,Drumcondra Partners (UK) Limited,2067863,GB,,Drumcondra Partners (UK) Limited,4830,ACTIVE,,2H25
700101263,Blackwater Financial Ireland Limited,Blackwater Financial Ireland Limited,317936,IE,,Blackwater Financial Ireland Limited,3754,ACTIVE,,2H25
700101296,Vantry Logistics Unlimited Company,Vantry Logistics Unlimited Company,218894,IE,,Vantry Logistics Unlimited Company,4778,ACTIVE,,2H25
700101320,Fernbank Retail Limited,Fernbank Retail Limited,5448399,GB,,Fernbank Retail Limited,6554,ACTIVE,,2H25
700101338,Fernbank Healthcare Group Limited,Fernbank Healthcare Group Limited,4980515,GB,,Fernbank Healthcare Group Limited,7111,ACTIVE,,2H25
700101414,Lambourne Financial Holdings Limited,Lambourne Financial Holdings Limited,7888387,GB,,Lambourne Financial Holdings Limited,4968,ACTIVE,,2H25
700101469,Kilbrannan Industrial Unlimited Company,Kilbrannan Industrial Unlimited Company,130631,IE,,Kilbrannan Industrial Unlimited Company,8757,ACTIVE,,2H25
700101532,Eastvale Partners DAC,Eastvale Partners DAC,288969,IE,,Eastvale Partners DAC,1071,ACTIVE,,2H25
700101589,Orrell Insurance Limited,Orrell Insurance Limited,4512858,GB,,Orrell Insurance Limited,517,ACTIVE,,2H25
700101648,Deepwell Technology Holdings Limited,Deepwell Technology Holdings Limited,2256055,GB,,Deepwell Technology Holdings Limited,6707,ACTIVE,,2H25
700101712,Fernbank Retail PLC,Fernbank Retail PLC,4789865,GB,,Fernbank Retail PLC,6339,ACTIVE,,2H25
700101760,Cranbourne Logistics Limited,Cranbourne Logistics Limited,708307,IE,,Cranbourne Logistics Limited,479,ACTIVE,,2H25
700101825,Vantry Industrial Limited,Vantry Industrial Limited,1633903,GB,,Vantry Industrial Limited,4792,ACTIVE,,2H25
700101860,Inisfree Financial PLC,Inisfree Financial PLC,1622608,GB,,Inisfree Financial PLC,6283,ACTIVE,,2H25
700101888,Pentland Energy Group Limited,Pentland Energy Group Limited,2207675,GB,,Pentland Energy Group Limited,5942,ACTIVE,,2H25
700101978,Carrowmore Financial Unlimited Company,Carrowmore Financial Unlimited Company,685535,IE,,Carrowmore Financial Unlimited Company,2783,ACTIVE,,2H25
700102048,Stonebridge Advisory Unlimited Company,Stonebridge Advisory Unlimited Company,398044,IE,,Stonebridge Advisory Unlimited Company,6839,ACTIVE,,2H25
700102062,Orrell Services PLC,Orrell Services PLC,2090440,GB,,Orrell Services PLC,4457,ACTIVE,,2H25
700102136,Ardmore Energy PLC,Ardmore Energy PLC,5049942,GB,,Ardmore Energy PLC,2962,ACTIVE,,2H25
700102224,Eastvale Advisory Holdings Limited,Eastvale Advisory Holdings Limited,1682824,GB,,Eastvale Advisory Holdings Limited,2551,ACTIVE,,2H25
700102270,Elmswood Logistics DAC,Elmswood Logistics DAC,246058,IE,,Elmswood Logistics DAC,577,ACTIVE,,2H25
