territory_id,territory_name,country_code,segment,status,opened_cycle,retired_cycle
230000,VANTRY INDUSTRIAL - IE,IE,NAMED,ACTIVE,2H25,
230037,CRANBOURNE FINANCIAL - IE,IE,NAMED,ACTIVE,2H25,
230074,KILBRANNAN INSURANCE (UK) - GB,GB,NAMED,ACTIVE,2H25,
230111,REDBOURNE PARTNERS HOLDINGS - GB,GB,NAMED,ACTIVE,2H25,
230148,KILBRANNAN TECHNOLOGY GROUP - GB,GB,NAMED,ACTIVE,2H25,
230185,GARROWBY ADVISORY - IE,IE,NAMED,ACTIVE,2H25,
230222,ULVERSTON ADVISORY GROUP - IE,IE,NAMED,ACTIVE,2H25,
230259,VANTRY ENERGY - GB,GB,NAMED,ACTIVE,2H25,
230296,FAIRHOLT INSURANCE - GB,GB,NAMED,RETIRED,2H25,1H27
230333,NORTHGATE INDUSTRIAL - GB,GB,NAMED,ACTIVE,2H25,
230370,QUARRYHILL RETAIL - IE,IE,NAMED,ACTIVE,2H25,
230407,QUARRYHILL INDUSTRIAL GROUP - IE,IE,NAMED,RETIRED,2H25,1H27
230444,BLACKWATER SERVICES (UK) - GB,GB,NAMED,ACTIVE,2H25,
230481,YARROWDALE LOGISTICS (UK) - GB,GB,NAMED,RETIRED,2H25,1H27
230518,DEEPWELL CAPITAL - GB,GB,NAMED,ACTIVE,2H25,
230555,HARROWFIELD FINANCIAL - IE,IE,NAMED,ACTIVE,2H25,
230592,CARROWMORE SERVICES UNLIMITED - IE,IE,NAMED,RETIRED,2H25,1H27
230629,EASTVALE RETAIL HOLDINGS - GB,GB,NAMED,ACTIVE,2H25,
230666,HARROWFIELD ENERGY HOLDINGS - GB,GB,NAMED,RETIRED,2H25,1H27
230703,ULVERSTON HEALTHCARE GROUP - GB,GB,NAMED,RETIRED,2H25,1H27
230740,ELMSWOOD RETAIL IRELAND - IE,IE,NAMED,ACTIVE,2H25,
230777,GARROWBY CAPITAL IRELAND - IE,IE,NAMED,ACTIVE,2H25,
230814,WESTMEATH ENERGY - GB,GB,NAMED,ACTIVE,2H25,
230851,FAIRHOLT INDUSTRIAL HOLDINGS - GB,GB,NAMED,ACTIVE,2H25,
230888,NORTHGATE HEALTHCARE GROUP - GB,GB,NAMED,ACTIVE,2H25,
230925,QUARRYHILL TECHNOLOGY GROUP - IE,IE,NAMED,ACTIVE,2H25,
230962,LAMBOURNE TECHNOLOGY - IE,IE,NAMED,ACTIVE,2H25,
230999,ARDMORE CAPITAL (UK) - GB,GB,NAMED,ACTIVE,2H25,
231036,ELMSWOOD ENERGY HOLDINGS - GB,GB,NAMED,ACTIVE,2H25,
231073,YARROWDALE SERVICES GROUP - GB,GB,NAMED,ACTIVE,2H25,
231110,GARROWBY LOGISTICS IRELAND - IE,IE,NAMED,ACTIVE,2H25,
231147,VANTRY SERVICES UNLIMITED - IE,IE,NAMED,ACTIVE,2H25,
231184,DRUMCONDRA ADVISORY HOLDINGS - GB,GB,NAMED,ACTIVE,2H25,
231221,CRANBOURNE INDUSTRIAL - GB,GB,NAMED,ACTIVE,2H25,
231258,LAMBOURNE HEALTHCARE (UK) - GB,GB,NAMED,ACTIVE,2H25,
231295,FERNBANK ENERGY - IE,IE,NAMED,ACTIVE,2H25,
231332,HARROWFIELD INSURANCE - IE,IE,NAMED,ACTIVE,2H25,
231369,GARROWBY CAPITAL GROUP - GB,GB,NAMED,ACTIVE,2H25,
231406,PENTLAND INDUSTRIAL - GB,GB,NAMED,ACTIVE,2H25,
231443,GLENMARA HEALTHCARE - GB,GB,NAMED,ACTIVE,2H25,
