st_id,tam_before_k,tam_after_k,delta_from_cases_k,delta_reforecast_k,action_summary
230000,490.2,490.2,0.0,0.0,KEEP
230037,515.4,369.8,0.0,-145.6,REFORECAST
230111,1015.2,1578.9,0.0,563.7,REFORECAST
230148,54.6,80.3,0.0,25.7,REFORECAST
230185,93.9,64.2,0.0,-29.7,REFORECAST
230222,394.1,681.2,0.0,287.1,REFORECAST
230259,873.5,1496.2,0.0,622.7,REFORECAST
230296,419.7,596.2,0.0,176.5,REFORECAST
230370,811.1,753.4,-57.7,0.0,MERGE-VOLUME
230407,362.2,362.2,0.0,0.0,KEEP
230444,768.7,768.7,0.0,0.0,KEEP
230481,452.3,452.3,0.0,0.0,KEEP
230518,827.9,827.9,0.0,0.0,KEEP
230592,556.1,535.5,-20.6,0.0,MERGE-VOLUME
230629,87.4,87.4,0.0,0.0,KEEP
230666,635.8,635.8,0.0,0.0,KEEP
230703,205.7,205.7,0.0,0.0,KEEP
230740,205.8,205.8,0.0,0.0,KEEP
230777,91.1,91.1,0.0,0.0,KEEP
230814,1406.2,1457.4,0.0,51.2,REFORECAST
230851,359.9,359.9,0.0,0.0,KEEP
230888,1196.0,1196.0,0.0,0.0,KEEP
230925,901.9,901.9,0.0,0.0,KEEP
230962,932.7,932.7,0.0,0.0,KEEP
230999,107.1,115.6,0.0,8.5,REFORECAST
231036,212.1,212.1,0.0,0.0,KEEP
231110,1039.1,727.2,0.0,-311.9,REFORECAST
231184,56.4,56.4,0.0,0.0,KEEP
231221,1102.4,1072.8,-29.6,0.0,MERGE-VOLUME
231295,437.5,437.5,0.0,0.0,KEEP
231332,144.8,144.8,0.0,0.0,KEEP
231369,83.1,83.1,0.0,0.0,KEEP
231406,350.4,382.5,0.0,32.1,REFORECAST
231443,31.3,31.3,0.0,0.0,KEEP
231517,570.7,570.7,0.0,0.0,KEEP
231554,1031.6,1154.1,0.0,122.5,REFORECAST
231591,52.2,52.2,0.0,0.0,KEEP
231628,1072.7,899.8,0.0,-172.9,REFORECAST
231665,52.6,52.6,0.0,0.0,KEEP
231702,594.5,594.5,0.0,0.0,KEEP
231739,351.5,351.5,0.0,0.0,KEEP
231776,170.7,170.7,0.0,0.0,KEEP
231813,232.1,232.1,0.0,0.0,KEEP
231850,680.3,680.3,0.0,0.0,KEEP
231887,414.2,740.3,0.0,326.1,REFORECAST
231924,352.6,280.2,0.0,-72.4,REFORECAST
231998,493.5,398.8,0.0,-94.7,REFORECAST
232035,437.5,497.9,0.0,60.4,REFORECAST
232072,272.3,309.3,0.0,37.0,REFORECAST
232109,958.0,1404.8,0.0,446.8,REFORECAST
232146,523.7,944.2,0.0,420.5,REFORECAST
232183,37.4,37.4,0.0,0.0,KEEP
232257,1142.8,1082.9,0.0,-59.9,REFORECAST
232331,452.0,452.0,0.0,0.0,KEEP
232368,545.2,1008.5,0.0,463.3,REFORECAST
232405,1341.1,2275.8,0.0,934.7,REFORECAST
232442,1314.3,1306.7,0.0,-7.6,REFORECAST
232516,297.8,297.8,0.0,0.0,KEEP
232553,1250.0,1216.2,-33.8,0.0,MERGE-VOLUME
