verification_id,org_id,checked_date,verdict,evidence_tier,finding
1,700100076,2026-08-10,CONFIRMED,FACT,"Active, correctly named and aligned per current filing"
2,700100167,2026-08-10,CONFIRMED,FACT,"Active, correctly named and aligned per current filing"
3,700100179,2026-08-10,NOT_CHECKED,ESTIMATE,Outside current verification scope
4,700100201,2026-08-10,CONFIRMED,FACT,"Active, correctly named and aligned per current filing"
5,700100278,2026-08-10,CONFIRMED,FACT,"Active, correctly named and aligned per current filing"
6,700100363,2026-08-10,CONFIRMED,FACT,"Active, correctly named and aligned per current filing"
7,700100380,2026-08-10,CONFIRMED,FACT,"Active, correctly named and aligned per current filing"
8,700100402,2026-08-10,CONFIRMED,FACT,"Active, correctly named and aligned per current filing"
9,700100463,2026-08-10,CONFIRMED,FACT,"Active, correctly named and aligned per current filing"
10,700100487,2026-08-10,CONFIRMED,FACT,"Active, correctly named and aligned per current filing"
11,700100581,2026-08-10,CONFIRMED,FACT,"Active, correctly named and aligned per current filing"
12,700100607,2026-08-10,CONFIRMED,FACT,"Active, correctly named and aligned per current filing"
13,700100644,2026-08-10,CONFIRMED,FACT,"Active, correctly named and aligned per current filing"
14,700100701,2026-08-10,CONFIRMED,FACT,"Active, correctly named and aligned per current filing"
15,700100719,2026-08-10,CONFIRMED,FACT,"Active, correctly named and aligned per current filing"
16,700100755,2026-08-10,NOT_CHECKED,ESTIMATE,Outside current verification scope
17,700100845,2026-08-10,CONFIRMED,FACT,"Active, correctly named and aligned per current filing"
18,700100909,2026-08-10,CONFIRMED,FACT,"Active, correctly named and aligned per current filing"
19,700100955,2026-08-10,CONFIRMED,FACT,"Active, correctly named and aligned per current filing"
20,700100968,2026-08-10,CONFIRMED,FACT,"Active, correctly named and aligned per current filing"
21,700101028,2026-08-10,CONFIRMED,FACT,"Active, correctly named and aligned per current filing"
22,700101074,2026-08-10,CONFIRMED,FACT,"Active, correctly named and aligned per current filing"
23,700101138,2026-08-10,CONFIRMED,FACT,"Active, correctly named and aligned per current filing"
24,700101224,2026-08-10,CONFIRMED,FACT,"Active, correctly named and aligned per current filing"
25,700101290,2026-08-10,CONFIRMED,FACT,"Active, correctly named and aligned per current filing"
26,700101364,2026-08-10,CONFIRMED,FACT,"Active, correctly named and aligned per current filing"
27,700101378,2026-08-10,CONFIRMED,FACT,"Active, correctly named and aligned per current filing"
28,700101394,2026-08-10,CONFIRMED,FACT,"Active, correctly named and aligned per current filing"
29,700101407,2026-08-10,CONFIRMED,FACT,"Active, correctly named and aligned per current filing"
30,700101480,2026-08-10,CONFIRMED,FACT,"Active, correctly named and aligned per current filing"
31,700101508,2026-08-10,CONFIRMED,FACT,"Active, correctly named and aligned per current filing"
32,700101520,2026-08-10,CONFIRMED,FACT,"Active, correctly named and aligned per current filing"
33,700101562,2026-08-10,CONFIRMED,FACT,"Active, correctly named and aligned per current filing"
34,700101657,2026-08-10,CONFIRMED,FACT,"Active, correctly named and aligned per current filing"
35,700101690,2026-08-10,CONFIRMED,FACT,"Active, correctly named and aligned per current filing"
36,700101714,2026-08-10,CONFIRMED,FACT,"Active, correctly named and aligned per current filing"
37,700101732,2026-08-10,CONFIRMED,FACT,"Active, correctly named and aligned per current filing"
38,700101808,2026-08-10,CONFIRMED,FACT,"Active, correctly named and aligned per current filing"
39,700101863,2026-08-10,CONFIRMED,FACT,"Active, correctly named and aligned per current filing"
40,700101913,2026-08-10,NOT_CHECKED,ESTIMATE,Outside current verification scope
41,700101947,2026-08-10,CONFIRMED,FACT,"Active, correctly named and aligned per current filing"
42,700102032,2026-08-10,CONFIRMED,FACT,"Active, correctly named and aligned per current filing"
43,700102083,2026-08-10,CONFIRMED,FACT,"Active, correctly named and aligned per current filing"
44,700102121,2026-08-10,CONFIRMED,FACT,"Active, correctly named and aligned per current filing"
45,700102179,2026-08-10,CONFIRMED,FACT,"Active, correctly named and aligned per current filing"
46,700102244,2026-08-10,CONFIRMED,FACT,"Active, correctly named and aligned per current filing"
47,700102279,2026-08-10,CONFIRMED,FACT,"Active, correctly named and aligned per current filing"
48,700102307,2026-08-10,CONFIRMED,FACT,"Active, correctly named and aligned per current filing"
49,700102397,2026-08-10,CONFIRMED,FACT,"Active, correctly named and aligned per current filing"
50,700102467,2026-08-10,CONFIRMED,FACT,"Active, correctly named and aligned per current filing"
51,700102481,2026-08-10,CONFIRMED,FACT,"Active, correctly named and aligned per current filing"
52,700102555,2026-08-10,CONFIRMED,FACT,"Active, correctly named and aligned per current filing"
53,700102643,2026-08-10,CONFIRMED,FACT,"Active, correctly named and aligned per current filing"
54,700102738,2026-08-10,CONFIRMED,FACT,"Active, correctly named and aligned per current filing"
55,700102766,2026-08-10,NOT_CHECKED,ESTIMATE,Outside current verification scope
56,700102789,2026-08-10,CONFIRMED,FACT,"Active, correctly named and aligned per current filing"
57,700102867,2026-08-10,CONFIRMED,FACT,"Active, correctly named and aligned per current filing"
58,700102905,2026-08-10,NOT_CHECKED,ESTIMATE,Outside current verification scope
59,700102934,2026-08-10,CONFIRMED,FACT,"Active, correctly named and aligned per current filing"
60,700102986,2026-08-10,NOT_CHECKED,ESTIMATE,Outside current verification scope
61,700103061,2026-08-10,CONFIRMED,FACT,"Active, correctly named and aligned per current filing"
